Metal;Pourcent;Poids
Aluminium;24,1;31,089
Arsenic;0,005;0,00645
Carbone;15,4;19,866
Calcium;0,3;0,387
Chlore;0,012;0,01548
Cobalt;5,1;6,579
Chrome;3,8;4,902
Cuivre;6,1;7,869
Fer;14,4;18,576
Gallium;0,01;0,0129
Hydrogène;4,3;5,547
Potassium;0,3;0,387
Lithium;0,7;0,903
Magnésium;0,5;0,645
Manganèse;0,2;0,258
Molybdène;0,012;0,01548
Nickel;2,1;2,709
Oxygène;15,1;19,479
Phosphore;0,175;0,22575
Plomb;0,03;0,0387
Soufre;0,3;0,387
Silicium;6,3;8,127
Titane;0,2;0,258
Vanadium;0,02;0,0258
Tungstène;0,036;0,04644
Zinc;0,5;0,645
